,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1460,0.25,B2_2,A2_1,B2,A2,11,4,0.98,1,0,0,fa
1461,0.25,B2_2,A2_2,B2,A2,11,5,0.97,1,0,0,fa
1462,0.25,B2_2,A2_3,B2,A2,11,6,0.99,1,0,0,fa
1463,0.25,B2_2,B1_1,B2,B1,11,7,-0.09,0,0,1,cr
1464,0.25,B2_2,B1_2,B2,B1,11,8,-0.12,0,0,1,cr
1465,0.25,B2_2,B1_3,B2,B1,11,9,-0.11,0,0,1,cr
1466,0.25,B2_2,B2_1,B2,B2,11,10,0.97,1,1,1,hit
1467,0.25,B2_2,B2_2,B2,B2,11,11,1.0,1,1,1,hit
1468,0.25,B2_2,B2_3,B2,B2,11,12,0.97,1,1,1,hit
1469,0.25,B2_2,y1,B2,y,11,13,0.06,0,0,1,cr
1470,0.25,B2_2,y2,B2,y,11,14,0.04,0,0,1,cr
1471,0.25,B2_2,y3,B2,y,11,15,0.05,0,0,1,cr
1472,0.25,B2_3,.,B2,.,12,0,-0.28,0,0,1,cr
1473,0.25,B2_3,A1_1,B2,A1,12,1,-0.1,0,0,1,cr
1474,0.25,B2_3,A1_2,B2,A1,12,2,-0.14,0,0,1,cr
1475,0.25,B2_3,A1_3,B2,A1,12,3,-0.16,0,0,1,cr
1476,0.25,B2_3,A2_1,B2,A2,12,4,0.98,1,0,0,fa
1477,0.25,B2_3,A2_2,B2,A2,12,5,0.98,1,0,0,fa
1478,0.25,B2_3,A2_3,B2,A2,12,6,0.96,1,0,0,fa
1479,0.25,B2_3,B1_1,B2,B1,12,7,-0.13,0,0,1,cr
1480,0.25,B2_3,B1_2,B2,B1,12,8,-0.13,0,0,1,cr
1481,0.25,B2_3,B1_3,B2,B1,12,9,-0.14,0,0,1,cr
1482,0.25,B2_3,B2_1,B2,B2,12,10,0.99,1,1,1,hit
1483,0.25,B2_3,B2_2,B2,B2,12,11,0.97,1,1,1,hit
1484,0.25,B2_3,B2_3,B2,B2,12,12,1.0,1,1,1,hit
1485,0.25,B2_3,y1,B2,y,12,13,0.01,0,0,1,cr
1486,0.25,B2_3,y2,B2,y,12,14,-0.01,0,0,1,cr
1487,0.25,B2_3,y3,B2,y,12,15,-0.01,0,0,1,cr
1488,0.25,y1,.,y,.,13,0,-0.44,0,0,1,cr
1489,0.25,y1,A1_1,y,A1,13,1,-0.31,0,0,1,cr
1490,0.25,y1,A1_2,y,A1,13,2,-0.31,0,0,1,cr
1491,0.25,y1,A1_3,y,A1,13,3,-0.34,0,0,1,cr
1492,0.25,y1,A2_1,y,A2,13,4,0.02,0,0,1,cr
1493,0.25,y1,A2_2,y,A2,13,5,0.01,0,0,1,cr
1494,0.25,y1,A2_3,y,A2,13,6,0.1,0,0,1,cr
1495,0.25,y1,B1_1,y,B1,13,7,-0.33,0,0,1,cr
1496,0.25,y1,B1_2,y,B1,13,8,-0.34,0,0,1,cr
1497,0.25,y1,B1_3,y,B1,13,9,-0.3,0,0,1,cr
1498,0.25,y1,B2_1,y,B2,13,10,0.02,0,0,1,cr
1499,0.25,y1,B2_2,y,B2,13,11,0.06,0,0,1,cr
1500,0.25,y1,B2_3,y,B2,13,12,0.01,0,0,1,cr
1501,0.25,y1,y1,y,y,13,13,1.0,1,1,1,hit
1502,0.25,y1,y2,y,y,13,14,1.0,1,1,1,hit
1503,0.25,y1,y3,y,y,13,15,1.0,1,1,1,hit
1504,0.25,y2,.,y,.,14,0,-0.44,0,0,1,cr
1505,0.25,y2,A1_1,y,A1,14,1,-0.29,0,0,1,cr
1506,0.25,y2,A1_2,y,A1,14,2,-0.29,0,0,1,cr
1507,0.25,y2,A1_3,y,A1,14,3,-0.32,0,0,1,cr
1508,0.25,y2,A2_1,y,A2,14,4,-0.01,0,0,1,cr
1509,0.25,y2,A2_2,y,A2,14,5,-0.01,0,0,1,cr
1510,0.25,y2,A2_3,y,A2,14,6,0.08,0,0,1,cr
1511,0.25,y2,B1_1,y,B1,14,7,-0.31,0,0,1,cr
1512,0.25,y2,B1_2,y,B1,14,8,-0.32,0,0,1,cr
1513,0.25,y2,B1_3,y,B1,14,9,-0.28,0,0,1,cr
1514,0.25,y2,B2_1,y,B2,14,10,-0.0,0,0,1,cr
1515,0.25,y2,B2_2,y,B2,14,11,0.04,0,0,1,cr
1516,0.25,y2,B2_3,y,B2,14,12,-0.01,0,0,1,cr
1517,0.25,y2,y1,y,y,14,13,1.0,1,1,1,hit
1518,0.25,y2,y2,y,y,14,14,1.0,1,1,1,hit
1519,0.25,y2,y3,y,y,14,15,1.0,1,1,1,hit
1520,0.25,y3,.,y,.,15,0,-0.44,0,0,1,cr
1521,0.25,y3,A1_1,y,A1,15,1,-0.29,0,0,1,cr
1522,0.25,y3,A1_2,y,A1,15,2,-0.29,0,0,1,cr
1523,0.25,y3,A1_3,y,A1,15,3,-0.32,0,0,1,cr
1524,0.25,y3,A2_1,y,A2,15,4,-0.0,0,0,1,cr
1525,0.25,y3,A2_2,y,A2,15,5,-0.01,0,0,1,cr
1526,0.25,y3,A2_3,y,A2,15,6,0.08,0,0,1,cr
1527,0.25,y3,B1_1,y,B1,15,7,-0.31,0,0,1,cr
1528,0.25,y3,B1_2,y,B1,15,8,-0.32,0,0,1,cr
1529,0.25,y3,B1_3,y,B1,15,9,-0.29,0,0,1,cr
1530,0.25,y3,B2_1,y,B2,15,10,0.0,0,0,1,cr
1531,0.25,y3,B2_2,y,B2,15,11,0.05,0,0,1,cr
1532,0.25,y3,B2_3,y,B2,15,12,-0.01,0,0,1,cr
1533,0.25,y3,y1,y,y,15,13,1.0,1,1,1,hit
1534,0.25,y3,y2,y,y,15,14,1.0,1,1,1,hit
1535,0.25,y3,y3,y,y,15,15,1.0,1,1,1,hit
